PF10417	PF10417	1.0
PF00578	PF10417	1.0
PF10417	PF02195	1.0
PF00085	PF10417	1.0
PF12574	PF12574	1.0
PF00244	PF00244	1.0
PF00244	PF00583	1.0
PF03496	PF00244	1.0
PF00244	PF00130	1.0
PF00244	PF00525	1.0
PF00011	PF00244	1.0
PF01161	PF00244	1.0
PF00244	PF07714	1.0
PF01204	PF00244	1.0
PF00389	PF00389	1.0
PF00389	PF02826	1.0
PF01842	PF00389	1.0
PF00389	PF11890	1.0
PF02826	PF02826	1.0
PF02222	PF02826	1.0
PF17769	PF02826	1.0
PF00198	PF00198	1.0
PF00676	PF00198	1.0
PF04029	PF04029	1.0
PF05635	PF05635	1.0
PF01257	PF01257	1.0
PF01257	PF01512	1.0
PF01257	PF04800	1.0
PF01257	PF13459	1.0
PF01257	PF00384	1.0
PF10589	PF01257	1.0
PF01257	PF11497	1.0
PF01257	PF15880	1.0
PF10531	PF01257	1.0
PF03390	PF03390	1.0
PF03171	PF03171	1.0
PF14226	PF03171	1.0
PF13532	PF13532	1.0
PF13532	PF00076	1.0
PF13640	PF13640	1.0
PF13499	PF13640	1.0
PF00009	PF13640	1.0
PF11413	PF13640	1.0
PF18331	PF13640	1.0
PF10637	PF13661	1.0
PF13759	PF13759	1.0
PF10014	PF10014	1.0
PF13563	PF13563	1.0
PF03475	PF03475	1.0
PF03475	PF03473	1.0
PF06983	PF06983	1.0
PF06052	PF06052	1.0
PF01073	PF01073	1.0
PF06725	PF06725	1.0
PF03562	PF06725	1.0
PF08279	PF02829	1.0
PF00725	PF00725	1.0
PF02737	PF00725	1.0
PF18321	PF00725	1.0
PF00108	PF00725	1.0
PF02737	PF02737	1.0
PF02737	PF00378	1.0
PF00108	PF02737	1.0
PF16121	PF00467	1.0
PF16121	PF00163	1.0
PF16121	PF00900	1.0
PF16121	PF01479	1.0
PF16122	PF00833	1.0
PF16122	PF00318	1.0
PF12907	PF04419	1.0
PF00005	PF17947	1.0
PF03061	PF03061	1.0
PF13279	PF03061	1.0
PF13279	PF13279	1.0
PF13622	PF13622	1.0
PF12729	PF12729	1.0
PF04476	PF04476	1.0
PF18671	PF02901	1.0
PF01648	PF17837	1.0
PF00550	PF17837	1.0
PF13416	PF17837	1.0
PF01812	PF01812	1.0
PF09038	PF09038	1.0
PF09038	PF00293	1.0
PF09038	PF00240	1.0
PF01367	PF01367	1.0
PF01367	PF02739	1.0
PF01367	PF00476	1.0
PF02739	PF02739	1.0
PF00476	PF02739	1.0
PF09293	PF02739	1.0
PF05761	PF05761	1.0
PF02872	PF02872	1.0
PF00149	PF02872	1.0
PF13501	PF02872	1.0
PF02355	PF02096	1.0
PF02096	PF03840	1.0
PF00344	PF02096	1.0
PF14849	PF02096	1.0
PF01591	PF01591	1.0
PF00300	PF01591	1.0
PF00393	PF00393	1.0
PF03446	PF00393	1.0
PF02294	PF02294	1.0
PF00759	PF02294	1.0
PF00061	PF02294	1.0
PF00062	PF02294	1.0
PF00071	PF02294	1.0
PF00018	PF02294	1.0
PF07696	PF07696	1.0
