entrez	degree	betweenness
823	16	0.00048554849428843725
4342	15	0.00017484209666397923
79778	7	3.25102558907216e-05
87	46	0.0017618963359725352
8738	6	2.0622867692967332e-05
53340	7	5.1785524972898574e-05
23139	18	0.0008291665798591842
9172	10	3.3489532196217336e-05
10006	62	0.0020436274454957585
9928	85	0.006546426494448404
10112	15	0.000166810400531507
775	10	0.00019358214186209215
7168	32	0.0009041022019095464
5585	67	0.002702262965134933
817	52	0.0011536111946509374
208	55	0.0034787942248513375
7135	18	0.00011429457520006077
815	58	0.0015651042110700689
7170	35	0.0015260787229180216
7169	31	0.00048001299686367883
3739	11	0.0009996112171720363
8618	14	0.00028416048804361034
4621	17	5.672444717813595e-05
818	40	0.0007009558953934745
4626	17	9.649248397227205e-05
59	56	0.0018068816842845047
7171	28	0.00048350766690998816
7402	26	0.0011235468037042444
776	6	6.498847725021872e-05
7277	38	0.0011441419385929811
54869	8	7.665807949848968e-05
4624	16	4.9340835431087455e-06
58	95	0.004320768704051625
7137	17	1.0075870825454045e-07
7134	32	0.0005677409107496643
5924	32	0.00012273915573876029
7138	17	5.240222760157133e-06
1756	35	0.0011922044162181661
5923	23	0.00012649439144739777
4635	16	3.523962156202266e-05
7139	16	9.678224634818461e-08
1859	97	0.004249895644507972
7125	33	0.0007338622055113503
816	31	0.0013531209786036647
7136	17	6.0124008653096376e-05
70	152	0.008501887405299125
4868	27	0.0006234079205849851
4632	15	3.839333853614665e-05
7140	15	9.678224634818461e-08
4633	32	0.0004861399038716542
4604	12	5.199798442897944e-05
25865	59	0.0033799667571146963
90	56	0.0016151316347257476
659	37	0.0012832445477995785
8200	12	0.00010931149996583933
655	14	0.0004283544556006908
91	28	0.0009390249149604814
7048	73	0.0032583402470428265
3624	15	0.00022162910284983557
92	36	0.0006108721355514724
657	48	0.0023039507677492855
94	11	7.113935836835391e-05
10025	10	0.00012639083396451096
654	6	1.3729363969537694e-07
2658	7	4.1760845022382696e-07
3645	21	0.00020483548018095086
558	44	0.004687362350437726
2064	208	0.006465335399260895
93	40	0.001827014808664615
80349	24	0.000708591407909924
284086	19	0.00026913067906498184
79674	3	7.028891780502622e-09
51285	7	2.4880825511564626e-05
58473	6	1.8978387880235374e-05
3625	13	0.00021501788633234442
23551	8	7.384210690048966e-06
29984	106	0.0005879418286203434
650	21	0.0007882783818104941
57111	14	3.812020718998973e-05
3626	9	1.5916700111318252e-05
55785	11	7.539504731788921e-05
28512	5	6.7033952412486694e-06
83452	15	0.00010312643508368463
51035	27	0.00027101292803619824
3551	94	0.0032130482980959325
2288	30	0.0004725405731819163
5911	33	0.0006832144145291038
5341	10	3.155415560667486e-05
1123	31	0.00010503481974942685
64284	4	1.9817721289812092e-06
51560	25	0.0005389895859811706
5865	54	0.0014704884776772214
22800	23	0.00016708149977730677
5058	91	0.0031595068139643277
57381	110	0.00046193511716747853
51207	12	2.0925381327367795e-05
81788	14	5.5308108892055705e-05
4893	171	0.006781400107378806
7046	109	0.006527896156829087
121268	5	2.2759519112873848e-06
91754	35	0.0005963646118351683
55827	10	1.9190807532184053e-05
5218	25	0.00020062112733249947
2339	2	0.00022735023303398886
5229	1	0.0
100529261	2	0.0004546487720631951
5371	12	0.0001455930783728386
140691	17	0.00018080618942032035
8805	26	0.00040612142913432135
5987	51	0.0026664634089962847
442247	4	0.00022765309186163424
205860	4	5.692602832122727e-08
7706	88	0.008004990670621038
672	58	0.0033106093569436217
9866	9	0.00028464458246165965
84851	4	1.5682944585761782e-06
10346	4	1.0401615151713324e-06
2624	13	0.00023025295484038256
7704	26	0.0027899952442855284
4005	33	0.002266163425184762
161882	7	0.00011645892941784007
2275	29	0.001534581418330092
9839	21	0.0008853391350223819
463	21	0.008100427428169122
23414	9	0.00026118169058261044
22806	32	0.0024368739983155374
9745	7	1.0398353611963817e-05
79776	22	0.004455187610549416
9658	12	0.0001781304874973505
7227	12	9.721405344255432e-05
2625	13	0.00015513495300692015
6118	7	0.0005681300360622547
6117	7	0.0005681300360622547
29935	3	0.0
9924	13	0.0018263961098263486
6119	5	0.0
65123	4	0.0004546746190655864
6774	79	0.0012033312372661318
5979	56	0.0017557879165719242
2044	11	9.763583890549062e-05
3716	68	0.0003378999742521183
9322	20	5.279065130646664e-05
6772	56	0.001594349409272112
5781	92	0.0008841534680078389
2242	33	0.00010808797935845962
5771	15	2.7039321017233903e-05
2475	31	0.0008782902718670075
5747	123	0.0030109109590066084
7253	31	0.002028398953943456
3572	32	0.0009960878928258101
6714	233	0.011794653292381952
660	32	0.0005209333822671305
2690	35	0.0010112104708165383
3717	86	0.0008186799377077619
4233	120	0.003269173902719987
238	43	0.00031288883356822865
6778	19	0.00046401509483310233
2260	99	0.005896588219438054
2263	61	0.0010413852103411429
5580	79	0.0029200674668505193
30837	19	7.560388840441267e-05
5770	32	5.668924386208823e-05
3718	39	6.444040194045013e-05
3055	56	0.0009020610777347284
4067	240	0.012295865579953446
2268	29	8.409605233416905e-05
9175	7	1.4084194497838736e-06
55914	48	0.00332119309458239
640	37	0.0005060282219185416
6850	95	0.000982374225697436
4914	226	0.014021096258539902
8503	46	0.0003915498226138092
9047	21	7.68637039486719e-05
27	47	0.00023154508327081198
3932	174	0.00553704150011974
5295	160	0.004828627407326936
5296	80	0.000995795446563857
6452	28	4.187823126832547e-05
5321	6	0.00038394476159286077
2615	5	1.9550713569296788e-05
114990	10	0.00012726307250539044
26509	2	1.9330818408879442e-07
1439	39	0.0009030084884266862
11060	34	0.0005719254656160558
3480	90	0.00432171613433651
9021	42	0.000685341073600982
9564	93	0.0029275546076473298
92369	11	0.0002811841682745038
1441	21	0.0002516712481122538
6773	19	0.00017885897069793932
2241	20	1.3370106929390066e-05
55824	17	8.591340718797813e-07
2261	80	0.003662646818333459
2264	75	0.003034496308985891
25970	21	7.139570264593132e-05
2185	62	0.0003204980433181588
3575	23	0.0007012476593816944
2042	31	0.0004780429206759956
6775	8	1.8442270782924865e-05
5159	86	0.00157178693317228
6777	42	8.919267829688183e-05
2444	6	1.036458292859189e-06
6776	42	8.00036014840332e-05
11122	9	0.0001390110964103397
5156	85	0.004937928104432136
2321	29	0.0004967195270558132
